"","feature","num_missing","pct_missing"
"1","SEQN",0,0
"2","RIDAGEYR",0,0
"3","DIQ010",0,0
"4","HSD010",0,0
"5","AGEGROUP",0,0
"6","FEMALE",0,0
"7","EDULEVEL",9,0.00163339382940109
"8","RACE",0,0
"9","FAM_INCOME",522,0.0947368421052632
"10","BMXBMI",181,0.0328493647912886
"11","BMICAT",181,0.0328493647912886
"12","current_smoker",257,0.0466424682395644
"13","HBA1C",232,0.0421052631578947
"14","HBA1C_CAT",232,0.0421052631578947
"15","diabetes_duration",72,0.0130671506352087
"16","SBP",198,0.035934664246824
"17","DBP",241,0.0437386569872958
"18","hypertension",73,0.0132486388384755
"19","LBXTC",328,0.0595281306715063
"20","hypercholesterolemia",91,0.0165154264972777
"21","CVD",2,0.000362976406533575
"22","CKD",292,0.052994555353902
"23","low_srh",0,0
"24","insurance",38,0.00689655172413793
